run_id,stream,file,create_utc,write_utc,bytes
20260713.115850,ForwardRight,000000000500.jpg,2026-07-13T15:58:51.675Z,2026-07-13T15:58:51.675Z,454892
20260713.115850,ForwardRight,000000001000.jpg,2026-07-13T15:58:51.913Z,2026-07-13T15:58:51.913Z,460747
20260713.115850,ForwardRight,000000001500.jpg,2026-07-13T15:58:52.119Z,2026-07-13T15:58:52.119Z,466072
20260713.115850,ForwardRight,000000002000.jpg,2026-07-13T15:58:52.325Z,2026-07-13T15:58:52.325Z,471840
20260713.115850,ForwardRight,000000002500.jpg,2026-07-13T15:58:52.531Z,2026-07-13T15:58:52.531Z,475042
20260713.115850,ForwardRight,000000003000.jpg,2026-07-13T15:58:52.727Z,2026-07-13T15:58:52.727Z,478982
20260713.115850,ForwardRight,000000003500.jpg,2026-07-13T15:58:52.912Z,2026-07-13T15:58:52.928Z,481823
20260713.115850,ForwardRight,000000004000.jpg,2026-07-13T15:58:53.118Z,2026-07-13T15:58:53.118Z,485787
20260713.115850,ForwardRight,000000004500.jpg,2026-07-13T15:58:53.326Z,2026-07-13T15:58:53.326Z,489154
20260713.115850,ForwardRight,000000005000.jpg,2026-07-13T15:58:53.527Z,2026-07-13T15:58:53.527Z,492129
20260713.115850,ForwardRight,000000005500.jpg,2026-07-13T15:58:53.721Z,2026-07-13T15:58:53.721Z,494990
20260713.115850,ForwardRight,000000006000.jpg,2026-07-13T15:58:53.928Z,2026-07-13T15:58:53.928Z,497745
20260713.115850,ForwardRight,000000006500.jpg,2026-07-13T15:58:54.123Z,2026-07-13T15:58:54.123Z,500649
20260713.115850,ForwardRight,000000007000.jpg,2026-07-13T15:58:54.324Z,2026-07-13T15:58:54.324Z,502734
20260713.115850,ForwardRight,000000007500.jpg,2026-07-13T15:58:54.515Z,2026-07-13T15:58:54.515Z,505460
20260713.115850,ForwardRight,000000008000.jpg,2026-07-13T15:58:54.723Z,2026-07-13T15:58:54.723Z,507232
20260713.115850,ForwardRight,000000008500.jpg,2026-07-13T15:58:54.928Z,2026-07-13T15:58:54.928Z,508522
20260713.115850,ForwardRight,000000009000.jpg,2026-07-13T15:58:55.118Z,2026-07-13T15:58:55.118Z,508508
20260713.115850,ForwardRight,000000009500.jpg,2026-07-13T15:58:55.324Z,2026-07-13T15:58:55.324Z,510037
20260713.115850,ForwardRight,000000010000.jpg,2026-07-13T15:58:55.522Z,2026-07-13T15:58:55.530Z,510652
20260713.115850,ForwardRight,000000010500.jpg,2026-07-13T15:58:55.721Z,2026-07-13T15:58:55.721Z,511499
20260713.115850,ForwardRight,000000011000.jpg,2026-07-13T15:58:55.926Z,2026-07-13T15:58:55.926Z,512056
20260713.115850,ForwardRight,000000011500.jpg,2026-07-13T15:58:56.117Z,2026-07-13T15:58:56.117Z,512990
20260713.115850,ForwardRight,000000012000.jpg,2026-07-13T15:58:56.324Z,2026-07-13T15:58:56.324Z,513089
20260713.115850,ForwardRight,000000012500.jpg,2026-07-13T15:58:56.515Z,2026-07-13T15:58:56.515Z,512598
20260713.115850,ForwardRight,000000013000.jpg,2026-07-13T15:58:56.730Z,2026-07-13T15:58:56.730Z,513297
20260713.115850,ForwardRight,000000013500.jpg,2026-07-13T15:58:56.913Z,2026-07-13T15:58:56.913Z,515040
20260713.115850,ForwardRight,000000014000.jpg,2026-07-13T15:58:57.122Z,2026-07-13T15:58:57.122Z,515419
20260713.115850,ForwardRight,000000014500.jpg,2026-07-13T15:58:57.327Z,2026-07-13T15:58:57.327Z,516317
20260713.115850,ForwardRight,000000015000.jpg,2026-07-13T15:58:57.518Z,2026-07-13T15:58:57.518Z,516431
20260713.115850,ForwardRight,000000015500.jpg,2026-07-13T15:58:57.727Z,2026-07-13T15:58:57.729Z,516571
20260713.115850,ForwardRight,000000016000.jpg,2026-07-13T15:58:57.916Z,2026-07-13T15:58:57.916Z,518140
20260713.115850,ForwardRight,000000016500.jpg,2026-07-13T15:58:58.123Z,2026-07-13T15:58:58.123Z,519704
20260713.115850,ForwardRight,000000017000.jpg,2026-07-13T15:58:58.313Z,2026-07-13T15:58:58.313Z,520192
20260713.115850,ForwardRight,000000017500.jpg,2026-07-13T15:58:58.521Z,2026-07-13T15:58:58.521Z,520662
20260713.115850,ForwardRight,000000018000.jpg,2026-07-13T15:58:58.726Z,2026-07-13T15:58:58.726Z,521660
20260713.115850,ForwardRight,000000018500.jpg,2026-07-13T15:58:58.916Z,2026-07-13T15:58:58.916Z,521800
20260713.115850,ForwardRight,000000019000.jpg,2026-07-13T15:58:59.123Z,2026-07-13T15:58:59.123Z,522155
20260713.115850,ForwardRight,000000019500.jpg,2026-07-13T15:58:59.312Z,2026-07-13T15:58:59.312Z,522875
20260713.115850,ForwardRight,000000020000.jpg,2026-07-13T15:58:59.519Z,2026-07-13T15:58:59.519Z,525170
20260713.115850,ForwardRight,000000020500.jpg,2026-07-13T15:58:59.725Z,2026-07-13T15:58:59.725Z,526238
20260713.115850,ForwardRight,000000021000.jpg,2026-07-13T15:58:59.916Z,2026-07-13T15:58:59.916Z,527016
20260713.115850,ForwardRight,000000021500.jpg,2026-07-13T15:59:00.122Z,2026-07-13T15:59:00.122Z,524762
20260713.115850,ForwardRight,000000022000.jpg,2026-07-13T15:59:00.328Z,2026-07-13T15:59:00.328Z,524855
20260713.115850,ForwardRight,000000022500.jpg,2026-07-13T15:59:00.519Z,2026-07-13T15:59:00.519Z,525656
20260713.115850,ForwardRight,000000023000.jpg,2026-07-13T15:59:00.725Z,2026-07-13T15:59:00.725Z,515715
20260713.115850,ForwardRight,000000023500.jpg,2026-07-13T15:59:00.917Z,2026-07-13T15:59:00.931Z,506223
20260713.115850,ForwardRight,000000024000.jpg,2026-07-13T15:59:01.121Z,2026-07-13T15:59:01.121Z,499029
20260713.115850,ForwardRight,000000024500.jpg,2026-07-13T15:59:01.312Z,2026-07-13T15:59:01.328Z,495629
20260713.115850,ForwardRight,000000025000.jpg,2026-07-13T15:59:01.518Z,2026-07-13T15:59:01.518Z,491106
20260713.115850,ForwardRight,000000025500.jpg,2026-07-13T15:59:01.725Z,2026-07-13T15:59:01.725Z,491107
20260713.115850,ForwardRight,000000026000.jpg,2026-07-13T15:59:01.915Z,2026-07-13T15:59:01.931Z,487232
20260713.115850,ForwardRight,000000026500.jpg,2026-07-13T15:59:02.122Z,2026-07-13T15:59:02.122Z,486904
20260713.115850,ForwardRight,000000027000.jpg,2026-07-13T15:59:02.313Z,2026-07-13T15:59:02.313Z,485471
20260713.115850,ForwardRight,000000027500.jpg,2026-07-13T15:59:02.521Z,2026-07-13T15:59:02.521Z,485495
20260713.115850,ForwardRight,000000028000.jpg,2026-07-13T15:59:02.728Z,2026-07-13T15:59:02.728Z,476906
20260713.115850,ForwardRight,000000028500.jpg,2026-07-13T15:59:02.919Z,2026-07-13T15:59:02.919Z,482438
20260713.115850,ForwardRight,000000029000.jpg,2026-07-13T15:59:03.125Z,2026-07-13T15:59:03.125Z,477127
20260713.115850,ForwardRight,000000029500.jpg,2026-07-13T15:59:03.315Z,2026-07-13T15:59:03.331Z,483936
20260713.115850,ForwardRight,000000030000.jpg,2026-07-13T15:59:03.521Z,2026-07-13T15:59:03.521Z,471412
20260713.115850,ForwardRight,000000030500.jpg,2026-07-13T15:59:03.727Z,2026-07-13T15:59:03.727Z,477148
20260713.115850,ForwardRight,000000031000.jpg,2026-07-13T15:59:03.920Z,2026-07-13T15:59:03.920Z,477948
20260713.115850,ForwardRight,000000031500.jpg,2026-07-13T15:59:04.124Z,2026-07-13T15:59:04.124Z,474069
20260713.115850,ForwardRight,000000032000.jpg,2026-07-13T15:59:04.314Z,2026-07-13T15:59:04.314Z,463803
20260713.115850,ForwardRight,000000032500.jpg,2026-07-13T15:59:04.521Z,2026-07-13T15:59:04.521Z,463593
20260713.115850,ForwardRight,000000033000.jpg,2026-07-13T15:59:04.726Z,2026-07-13T15:59:04.726Z,458640
20260713.115850,ForwardRight,000000033500.jpg,2026-07-13T15:59:04.917Z,2026-07-13T15:59:04.917Z,465654
20260713.115850,ForwardRight,000000034000.jpg,2026-07-13T15:59:05.123Z,2026-07-13T15:59:05.123Z,464474
20260713.115850,ForwardRight,000000034500.jpg,2026-07-13T15:59:05.313Z,2026-07-13T15:59:05.313Z,460799
20260713.115850,ForwardRight,000000035000.jpg,2026-07-13T15:59:05.522Z,2026-07-13T15:59:05.522Z,456663
20260713.115850,ForwardRight,000000035500.jpg,2026-07-13T15:59:05.711Z,2026-07-13T15:59:05.727Z,460562
20260713.115850,ForwardRight,000000036000.jpg,2026-07-13T15:59:05.917Z,2026-07-13T15:59:05.917Z,458161
20260713.115850,ForwardRight,000000036500.jpg,2026-07-13T15:59:06.123Z,2026-07-13T15:59:06.123Z,456551
20260713.115850,ForwardRight,000000037000.jpg,2026-07-13T15:59:06.329Z,2026-07-13T15:59:06.329Z,454949
20260713.115850,ForwardRight,000000037500.jpg,2026-07-13T15:59:06.520Z,2026-07-13T15:59:06.520Z,447826
20260713.115850,ForwardRight,000000038000.jpg,2026-07-13T15:59:06.711Z,2026-07-13T15:59:06.727Z,458972
